d4r55,RfnDt,RfnDt 2,rsqaWe,DU9Pgb,wiI7pd,Hzvxle,znYl0 2
A. Lucia Nascimento,Local Guide,5 reseñas,Hace 4 años,Nueva,"pedido vencido y no pude encontrar ninguna forma de comunicarme con usted, no tiene teléfono, correo electrónico y no puedo cancelar mi pedido y reembolsar el dinero. me siento engañado, incluso comprando en un sitio…",Me gusta,
Marcelino Paz,Local Guide,2 reseñas,Hace 2 años,Nueva,"¡¡no lo recomiendo!! cero comunicación y mucha demora en la entrega.
mi pedido está en espera porque no pagaron la factura y no dieron ninguna…",,Me gusta
Katia Kunimura,Local Guide,4 reseñas,Hace 2 años,Nueva,compro en carrefour y algunos de los productos que solicito provienen de olist. ordenar 5 artículos del mismo producto tiene un costo de envío de 5x. es flete por producto y no un valor único. ¡es absurdo! ingrese al…,,Me gusta
Juscelino Domingos,Local Guide,· 81 reseñas,Hace 2 años,Nueva,"hasta ahora pedí un producto el 04/06/2020 y no ha llegado hasta hoy 13/05/2020. nadie lo resuelve, no devuelve el dinero pagado, no envía el producto, ni siquiera una media estrella hasta ahora, pero le doy uno a…",Me gusta,
L. L.,Local Guide,2 reseñas,Hace un año,Nueva,"compré un producto natural de olist, no me entregaron en la fecha programada.
estoy esperando una respuesta. terrible apoyo. no lo indico.…",Me gusta,
Andre Dias,Local Guide,1 reseña,Hace un año,Nueva,no he recibido mi compra y es como si quisiera explicaciones y mi compra lo antes posible.…,,Me gusta
Renata Gussoni,Local Guide,1 reseña,Hace 2 años,Nueva,"he comprado y no conseguir! dos veces lo contacté para pedirle un pronóstico, considerando la situación actual, pero ni siquiera recibí una respuesta. no había otra alternativa que cancelar y evitar nuevas compras.…",Me gusta,
Natália Castelo Branco,Local Guide,1 reseña,Hace 9 meses,Nueva,"alguien me puede ayudar, como me comunico con esta empresa? ¡¡ayúdenme por favor!!…",,Me gusta
Carlos Alexandre,Local Guide,· 25 reseñas,Hace un año,Nueva,lo compré en mercado libre y no ofrecían seguimiento de la compra. sólo sabía dónde estaba el pedido el día de la entrega.…,Me gusta,
Carlos Eduardo Previdi (Kadu),Local Guide,5 reseñas,Hace 3 años,Nueva,"su soporte es una lix. estoy allí dos días con una ""llamada"" abierta y ni siquiera abierto todavía para dar a contestar. y eso es recurrente. si usted piensa en vender en esa plataforma, considere bien porque si los…",Me gusta,
Mestre,Local Guide,1 reseña,Hace un año,Nueva,el disco deportivo llego mucho mas con una variacion en la pintura para darle un color diferente al que queria…,,Me gusta
Acessorio Amarelinho,Local Guide,2 reseñas,Hace un año,Nueva,peor empresa no es fiable cobra para no hacer nada y lo que ellos no caimos en esta empresa se pagas por vender eso es si venden no recomiendo es un extraño…,,Me gusta
monica.f.i@hotmail.com Pires,Local Guide,6 reseñas,Hace 2 años,Nueva,terrible... nunca compre en olist... me vendieron perfume falsificado con factura equivocada con un valor inferior.. lo devolví y no me devolvieron el valor hace 4 meses...…,Me gusta,
PROFDEUSDETESILVA,Local Guide,2 reseñas,Hace un año,Nueva,"mesa de excelente calidad, y muy rápida la entrega felicitaciones, lo recomiendo.…",,Me gusta
Antonio Antunes,Local Guide,10 reseñas,Hace 2 años,Nueva,"hicieron entrega en mi casa y el repartidor no usó una de las mayores precauciones contra el corona virus que es la mascarilla, una total falta de respeto y dignidad al cliente…",Me gusta,
Marcio Neves,Local Guide,2 reseñas,Hace 2 años,Nueva,estoy tratando de obtener un reembolso por una compra que hice y no puedo comunicarme con ellos. porque devolví la mercancía y no me devolvieron el valor del producto. esto para mi es ridiculo…,,Me gusta
Rodrigo Camargo,Local Guide,1 reseña,Hace 2 años,Nueva,"compré un juego el 31/03/20, en la web americanas.com. todavía no lo he recibido y ya pasó la fecha de entrega. me puse en contacto con el sitio web y no obtuve respuesta. ¡no lo recomiendo!…",Me gusta,
C Anraku,Local Guide,14 reseñas,Hace un año,Nueva,"el sistema vendido a los mercados es horrible, el soporte tarda mucho en responder, el vendedor prometió una facturación en 2 meses que nunca sucedió. no lo recomiendo.…",,Me gusta
Patricia Rodrigues,Local Guide,2 reseñas,Hace 2 años,Nueva,"¡malísimo! el producto llegó roto. no puedo recibir el producto, ni el dinero, ni la respuesta. no contestan, no contestan. ¡malísimo! nunca compre en este sitio. nuncaaaaaaa!…",,Me gusta
Geovani,Local Guide,1 reseña,Hace 2 años,Nueva,"compramos un artículo y recibimos otro artículo.
la comunicación con la tienda es escasa.
el soporte de ventas no existe.…",Me gusta,
Noite Fria,Local Guide,· 118 reseñas,Hace un año,Nueva,"no lo recomiendo, el producto nunca llego! debe ser procesado y retirado del mercado!…",,Me gusta
Juliana Oliveira,Local Guide,2 reseñas,Hace un año,Nueva,"no me gustó que mis artículos llegaran incompletos y no solucionan nada, no lo recomiendo.…",,Me gusta
yedo renaldin,Local Guide,· 41 reseñas,Hace 2 años,Nueva,"mañana es la fecha límite para la entrega. sin embargo, no se emitió ninguna factura. donde esta mi producto…",,Me gusta
Jorge Augusto Teixeira,Local Guide,· 6 reseñas,Hace 3 años,Nueva,"mala experiencia vendiendo con ellos. la plataforma es mucho porque tienes que hacer todo manualmente, y eso lleva tiempo.
y si necesitas soporte para resolver cualquier cosa, tardan días en responder a…",,Me gusta
cecilia catto,Local Guide,1 reseña,Hace 3 años,Nueva,"hice una compra el producto llego mal y roto, lo devolví para recibir el producto correcto, ya no me contestan no puedo comunicarme a los teléfonos, estoy esperando mis productos,…",Me gusta,
Camilla Palazzo,Local Guide,· 2 reseñas,Hace 2 años,Nueva,"terrible, tuve una experiencia súper desagradable, compré un producto por el extra, pero me lo entregó olist y el producto que recibí es diferente al comprado. no respondieron por cambio o devolución de dinero, estoy…",,Me gusta
Alessandra Siqueira,Local Guide,1 reseña,Hace un año,Nueva,"necesito el código para la devolución de la bici que vine mal, no te mando mensajes desde ayer y nadie te manda…",,Me gusta
Lucas Neves,Local Guide,· 27 reseñas,Hace 5 años,Nueva,"hice una compra y la entrega se hizo sin un artículo, llevo más de 60 minutos escuchando una maldita canción en el servicio de contestador sin hablar con nadie de la compañía.…",Me gusta,
André Favali,Local Guide,· 21 reseñas,Hace 3 años,Nueva,"siempre pensé que era una empresa responsable, pero cuando fui a hacer mi primera compra, el producto salió mal, quedé muy insatisfecho con el tipo de respuesta, no volvería a hacer negocios con esta empresa.…",Me gusta,
Mario Moraes,Local Guide,· 26 reseñas,Hace un año,Nueva,"oye
buenas tardes señores que se ocupan de la logística de la empresa. tomó más tiempo de lo esperado para este equipo y súper necesidad. ponga la opción a través…",Me gusta,
Camilla Albernaz,Local Guide,2 reseñas,Hace 2 años,Nueva,hice una compra y el producto no vino como se describe en el anuncio de ventas. ¡no funciona! hice la solicitud de devolución y no me la devuelven. he estado tratando de contactarme por un mes.…,Me gusta,
Andre Nascimento,Local Guide,1 reseña,Hace 2 años,Nueva,"el producto no me conviene, necesito cambiarlo o devolverlo, ¿cómo proceder?
producto 1 centímetro más pequeño de altura y más estrecho de diámetro.…",,Me gusta
Anicri Costa,Local Guide,11 reseñas,Hace 2 años,Nueva,no compre en esta horrible empresa!! compré un cuaderno a través de la web de carrefour el 23 de abril y hasta hoy no lo he recibido. siempre dan la misma excusa de que aceleraran la entrega. ¡¡una empresa de basura!!…,Me gusta,
Adilene Gonçalves,Local Guide,1 reseña,Hace un año,Nueva,"lo que pedí no ha llegado hasta hoy, es casi el día de pago…",,Me gusta
Miriam Ogone,Local Guide,9 reseñas,Hace 2 años,Nueva,"olist tiene nuestro dinero desde agosto, no han pagado los productos vendidos. registran cuenta bancaria equivocada desde el mes de agosto hasta el día de hoy no han recibido el dinero de los productos vendidos. cada…",,Me gusta
Alix Sarti,Local Guide,2 reseñas,Hace 2 años,Nueva,"recibí una entrega hoy que hice a través de la página web de ponto frio, pero eran 2 paquetes, uno fue entregado, el otro no, pero lo cancelaron como si hubiera sido entregado.…",,Me gusta
Juliana Almeida,Local Guide,3 reseñas,Hace 5 años,Nueva,"vende productos falsos!!! ni siquiera la factura. producto comprado a través del sitio web de walmart y entregado por olist. producto entregado sin embalaje original, visiblemente de mala calidad. en el rastreo del…",Me gusta,
Daniel Melo,Local Guide,· 28 reseñas,Hace 3 años,Nueva,"compré un producto, lo recibí de mala calidad y estaba defectuoso en menos de 2 meses. lo envié a garantía, no me lo devolvieron reparado ni el valor, ni me responden más.…",Me gusta,
Antonio araujo,Local Guide,4 reseñas,Hace 2 años,Nueva,no he recibido mi producto llevo esperando desde el 4 de enero y nadie da posicion voy a cancelar la compra!!!!!!!…,,Me gusta
Felipe Candido,Local Guide,· 17 reseñas,Hace 4 años,Nueva,"¡hola buenos dias!

esta empresa no paga a las personas que venden productos a través de su…",Me gusta,
Nane Matos,Local Guide,1 reseña,Hace 2 años,Nueva,"terrible, terrible, nunca compres en esta tienda!!! es vergonzoso tener abierta una tienda como esta, que dice dar todo el apoyo al cliente, aunque tiene credibilidad, ¿¡dónde!?…",,Me gusta
Casa Quality,Local Guide,· 10 reseñas,Hace un año,Nueva,"pésimo servicio, a la hora de ofrecer el servicio, trata mil maravillas, luego se vuelve un lío tremendo ....., falta de servicio, no saben si quieren contestar…",,Me gusta
Jose Francisco,Local Guide,4 reseñas,Hace 2 años,Nueva,pessima hice una compra por el 30/03 extra con pronóstico de entrega 04/5 hasta ahora nada y no doy ninguna justicativa creo que vende el producto q no tiene en stock…,Me gusta,
Bruno Zilli,Local Guide,7 reseñas,Hace 3 años,Nueva,"tiene un apoyo pobre, dice que responden en 2 horas en promedio, pero solo responden 2 días después. comisión demasiado alta para el servicio prestado. solo tengo que vigilar las llamadas abiertas y financieras, ya…",Me gusta,
R d M,Local Guide,1 reseña,Hace 3 años,Nueva,"olist es una compañía cuyos gerentes deberían estar avergonzados. lamentablemente, lo compré en el sitio web estadounidense que desempeñaba el papel de socio de olist en la entrega de una licuadora de casi 800 reales.…",Me gusta,
Felipe diaz,Local Guide,1 reseña,Hace 3 años,Nueva,"no compre esta tienda, sinceramente falta de profesionalismo es grande, compró una cpu y venía con piezas sueltas en, intentó ponerse en contacto whatsapp la ni si sea sido contestada, es lamentable, es suficiente con…",Me gusta,
Joao de Deus Neto,Local Guide,· 33 reseñas,Hace 2 años,Nueva,"estoy en espera de la entrega del material (que fue prometido durante 13 días) y no puede resolver el problema.
no recomiendo a cualquier persona con cualquier olist negocio, considero que es…",Me gusta,
Mara Cristina Santos,Local Guide,3 reseñas,Hace 2 años,Nueva,"¡horrible! compré un producto en mercado libre y no me lo entregaron. ¡le envié un mensaje al vendedor y adivina qué, no hubo respuesta! no recomiendo para nada...…",Me gusta,
Mateus Carvalho,Local Guide,· 35 reseñas,Hace 3 años,Nueva,"vende en el mercado libre como empresa colaboradora, pero no entrega los productos ni la satisfacción. si es un mercado, debe ser responsable de sus anunciantes. mi sugerencia es evitar a este vendedor.…",,Me gusta
Lara e Hugo Lincoln,Local Guide,1 reseña,Hace un año,Nueva,compré un banco de musculación reclinable como decía el anuncio y recibí arandelas en su lugar. totalmente insatisfecho. estoy tratando de ponerme en contacto con usted para resolver mi problema.…,,Me gusta
Alexandre Affonso (AAFFONSO),Local Guide,2 reseñas,Hace un año,Nueva,"pésima empresa compré dos productos, solo me entregaron uno, no hay devolución posventa y peor, bajaron el sistema alegando que entregaban ambos productos.…",Me gusta,
Mariana Bortoletti,Local Guide,1 reseña,Hace 2 años,Nueva,"compré dos productos de esta compañía por el submarino, entregaron solo uno de los productos y todavía estoy esperando una respuesta. absurdo.…",,Me gusta
Wanderson Lucena,Local Guide,· 51 reseñas,Hace 2 años,Nueva,"simplemente un descuido hice la compra por americanas, pero nadie contesta una empresa sin telefono de contacto en el 2020 parece broma kkk. no le recomiendo esta plataforma a nadie, si como cliente tuve todo este…",Me gusta,
Carlos Baccarin,Local Guide,· 79 reseñas,Hace 3 años,Nueva,"lamentablemente el servicio es muy precario, al menos en los anuncios oficiales de olist en mercado libre. los responsables de responder las consultas de los clientes no están preparados, son irrespetuosos y, a…",Me gusta,
Haiana Peniche,Local Guide,2 reseñas,Hace 2 años,Nueva,horrible. llevo casi un mes esperando mi mercadería y aún no llega. después de 15 días aprobaron mi pago. que absurdo.…,,Me gusta
Reinaldo Camilo,Local Guide,· 19 reseñas,Hace 2 años,Nueva,"pésimo hice una compra a través de la tienda americana y no me entregaron el producto, ahora estoy luchando por recuperar el dinero, no compren en esta tienda, porque es un dolor de cabeza.…",Me gusta,
Sara Sant'Ana,Local Guide,5 reseñas,Hace 2 años,Nueva,"¡malo! compré un producto en americanas y tienen 20 días de retraso!! solicité información sobre el envío del producto a americanas y directamente a olist, nunca recibí respuesta. ¡increíble que una empresa tan…",,Me gusta
Luciano Urbancic,Local Guide,· 65 reseñas,Hace 2 años,Nueva,"el peor servicio post venta con el que he tenido contacto, llevo más de 10 días intentando hablar y no he obtenido respuesta.…",,Me gusta
Marta Saldeira,Local Guide,4 reseñas,Hace un mes,Nueva,"estafadores. ... no compre

(original)
golpistas. ...não comprem",,Me gusta
Pedro m,Local Guide,3 reseñas,Hace un año,Nueva,compre y no enviaron! ¡nunca más! esta empresa es un mercado y no una tienda.…,,Me gusta
Rodrigo Costa,Local Guide,· 168 reseñas,Hace 3 años,Nueva,"pagas lo más caro por el envío exprés y los muchachos tardan 1 semana en publicar tu producto, eso es realmente genial. primera y última compra en este lugar.…",Me gusta,
Tatiana Amaral,Local Guide,1 reseña,Hace 3 años,Nueva,"pésimo servicio!!!! me entregaron el producto equivocado, tardo 10 días en responderme del error que cometieron, en resultado mi hija se quedó sin el regalo que pedio para papá noel y todavía quieren que se lo…",,Me gusta
WELLINGTON PEREIRA,Local Guide,3 reseñas,Hace 3 años,Nueva,"compré el producto dvr el 21 de noviembre de 2019, vino con un defecto, fue devuelto y volvió con el mismo defecto hoy es 01/092020 y no se ha resuelto nada falta de consideración para el cliente, no compraré nada…",Me gusta,
Thais Perciavali,Local Guide,1 reseña,Hace 3 años,Nueva,¡hice una compra de 6 artículos a través del submarino y solo llegó un artículo! intento contactar con la ilustración y no me contestan! ¡en el sitio web dice que todo ha sido entregado!…,,Me gusta
Daniel Darcy,Local Guide,1 reseña,Hace 2 años,Nueva,"terrible, tiempo de entrega absurdo, realicé una compra en la web americana hace más de 1 mes y aún no me llega.…",Me gusta,
Kevin Jacino Pereira,Local Guide,· 66 reseñas,Hace 2 años,Nueva,"compre un producto y el vendedor era olist, el producto ademas de llegar fuera de plazo me llego completamente mal, no puedo contactar a nadie en la tienda... yo creo que la solucion solo la tiene procon y comisaria,…",,Me gusta
Déh Melchiades,Local Guide,7 reseñas,Hace 11 meses,Nueva,"0 post el producto no es igual al de la foto, no es la misma marca, desepsiona!…",,Me gusta
Liliane Bueno,Local Guide,1 reseña,Hace 3 años,Nueva,"compré un producto y me lo entregaría esta empresa, porque hasta el día de hoy no me ha llegado mi producto y dijeron que se entregó y en realidad no. y lo que es peor, no puedo hablar con la empresa, no sé por qué.…",,Me gusta
Simone Carvalho,Local Guide,5 reseñas,Hace 2 años,Nueva,"compré una cámara de seguridad y el producto empezó a tener problemas, no puedo mantenerme en contacto con olist en esos momentos, quien tiene que estar perdido, soy yo el dinero tirado.…",,Me gusta
jhoni Oliveira,Local Guide,6 reseñas,Hace 2 años,Nueva,"muy mala experiencia en el mercado libre, compré un producto y es la dirección incorrecta, envié 4 mensajes y no obtuve respuestas.…",,Me gusta
Moreninha GG,Local Guide,3 reseñas,Hace 2 años,Nueva,quiero recibir el producto que ya se pagó mucho antes de que lo veas y me envías un mensaje diciendo que mi producto llegó aquí no recibiré nada estoy esperando…,,Me gusta
André Oliveira,Local Guide,6 reseñas,Hace 5 meses,Nueva,"como vendedor de olist, no lo recomiendo.

(original)…",Me gusta,
Rita de Cassia Paes Alves Pereira,Local Guide,2 reseñas,Hace 2 años,Nueva,no me gustó la experiencia. compré un juego de paños de cocina a juego con la decoración de mi cocina. por eso compré rojo. llegó el azul ...…,,Me gusta
Fabio Silva,Local Guide,7 reseñas,Hace un año,Nueva,¡la empresa no se compromete con los plazos de entrega y no devuelve!…,,Me gusta
Bruna Rodrigues,Local Guide,4 reseñas,Hace 2 años,Nueva,"probamos el producto y no tuvo efecto, ya lo tomo de otro proveedor y quise probar el tuyo, tuve 0% de resultado.
producto falso.…",,Me gusta
Rebeca Ramalho,Local Guide,1 reseña,Hace un año,Nueva,no es posible que nadie tenga una respuesta humanizada...... parece un robot automatico que sigue diciendo que seguimiento del pedido.. en el seguimiento no hay nada.. por favor dame una respuesta concreta…,Me gusta,
eraldo eraldo santos sousa,Local Guide,1 reseña,Hace 2 años,Nueva,servicio al cliente pessimo.fiz el pedido solo se publicó después de que hice una queja. cuatro días después de la compra.…,,Me gusta
Renata Silva Maia,Local Guide,1 reseña,Hace 2 años,Nueva,"ha pasado una semana desde que hice la compra y hasta el momento ni se ha generado la factura, envié varios correos electrónicos, msg en insta y msg en el sitio web estadounidense y hasta ahora no hay respuesta, me…",Me gusta,
lordRubens20,Local Guide,1 reseña,Hace un año,Nueva,"compré el teléfono como regalo para mi papá, ¡pero el teléfono no carga la batería! ¡no compre!…",,Me gusta
Felicia Sarra,Local Guide,· 56 reseñas,Hace 2 años,Nueva,mala experiencia me enviaron cortacircuitos que no compre en lugar de mi mercancia lo devolvere como lo devuelvo? quiero la devolucion del pago…,,Me gusta
Irla Merigo,Local Guide,· 13 reseñas,Hace 3 años,Nueva,"olist pretende ser un anunciante dentro de marketplaces, enmascarando al vendedor real. sin conocer la reputación del vendedor, ¿estás loco por comprar online? ¡yo no!…",Me gusta,
Adriana Coelho,Local Guide,1 reseña,Hace un año,Nueva,mala compañía. total falta de respeto por el consumidor. totalmente sin soporte y cero responsabilidad. entregas fuera de fecha. absurdo.…,,Me gusta
Nadia Oliveira,Local Guide,2 reseñas,Hace un año,Nueva,compré un producto en la tienda a través de americanas y me entregaron el producto equivocado. americanas no se hace responsable del producto.…,,Me gusta
Sandra Daniel,Local Guide,7 reseñas,Hace 4 años,Nueva,"horrible !!!!!!!!!! compré una silla a través de la página web de lojas américas, que entregaron a este olist, hace un mes y aún no me llega la silla, no hay un teléfono de atención, solo por correo electrónico y con…",,Me gusta
Thiago Silva,Local Guide,· 39 reseñas,Hace un año,Nueva,pongo un paquete de frijoles de 1 kg y la balanza no da 1 kg sino 695 gramos. horrible esta escala…,Me gusta,
Leandro Messias,Local Guide,54 reseñas,Hace un año,Nueva,compré una ducha de acero inoxidable y venía con parte del acero inoxidable pelado. muy insatisfecho y nunca más compre en esa tienda.…,,Me gusta
Elaine Ferrari,Local Guide,1 reseña,Hace 2 años,Nueva,compré 4 rollos de plástico de burbujas y recibí 4 paquetes de papel fotográfico. esperando a que la empresa se justifique.…,,Me gusta
Antonio Carlos Foganholi,Local Guide,3 reseñas,Hace 3 años,Nueva,"ha pasado el plazo de siete días, el producto me provoca lesiones en el cuerpo, no me adapté con el producto y no me quieren devolver el dinero de la compra. total falta de respeto!!!…",,Me gusta
Mimo's Pet Shop e Clínica Veterinária,Local Guide,1 reseña,Hace un año,Nueva,mala experiencia. compré una cortadora de cabello y nunca me la entregaron.…,,Me gusta
Marcio Rebouças,Local Guide,9 reseñas,Hace un año,Nueva,"venden el producto en mescaso gratis y no hacen delivery.
cancelan la compra y al mismo tiempo se anuncia el producto más caro…",,Me gusta
Beatriz Carvalho,Local Guide,1 reseña,Hace un año,Nueva,"¡pésimo, no entregan en la fecha prevista! reprogramar por 6 días o más!…",Me gusta,
Camila Potel,Local Guide,· 54 reseñas,Hace 2 años,Nueva,hice una compra a través de la web de casas bahia hace más de un mes y de momento no he recibido el producto.…,,Me gusta
NY Junior,Local Guide,· 137 reseñas,Hace un año,Nueva,terrible. el transportista dijo que entregó y la tienda lo confirmó. tenía esta absurda preocupación por un error del transportista y del olista.…,,Me gusta
Jorge Faleiros,Local Guide,2 reseñas,Hace 4 años,Nueva,"empresa amateur, no está preparada para tratar con agencias y mucho menos para dar un servicio optimizado a sus clientes.…",Me gusta,
Fabio Strazza,Local Guide,· 42 reseñas,Hace 5 meses,Nueva,"lástima en el cumplimiento de los plazos

(original)…",,Me gusta
Diego Kavabata,Local Guide,8 reseñas,Hace 2 años,Nueva,"pésimo servicio, sin teléfono de contacto, llevo 2 meses esperando mi producto y nadie me da respuesta, pésimo feedback, mejor fumaroback!…",Me gusta,
Camila Araújo,Local Guide,· 14 reseñas,Hace 5 años,Nueva,"experiencia decepcionante! cuando cerramos el plan, fueron muy atentos, una compañía seria y después de pagar, no respondieron a las dudas, no respondieron correos electrónicos y no respondieron las llamadas. llama y…",Me gusta,
ANDRÉ Gomert,Local Guide,1 reseña,Hace 2 años,Nueva,"lo vendieron a través de mercado libre, luego dijeron que no tenían stock y cancelaron mi pedido.
oh, mal servicio de información. no lo recomiendo..…",Me gusta,
Soraya Carvalho,Local Guide,1 reseña,Hace 3 años,Nueva,compré 1 protector de cuna en el sitio web de casas de bahía con entrega por olist para llegar el 24 y hasta ahora nada.…,Me gusta,
Raiane Rodrigues,Local Guide,· 16 reseñas,Hace un año,Nueva,¡después de haber pasado por mucho enojo e inconvenientes hasta que la entrega fue rápida!…,,Me gusta
Jorge Garbulho,Local Guide,1 reseña,Hace 2 años,Nueva,negativo. hice tres compras 2 salió mal. la entrega es perfecta. pero...…,,Me gusta
Claudio Martinez,Local Guide,· 14 reseñas,Hace un año,Nueva,"no compre nada vendido o entregado por esta empresa, tremendos picos…",,Me gusta
Rose Pacheco,Local Guide,9 reseñas,Hace 2 años,Nueva,"informaron que se entregó una escalera para mascotas, pero no lo hicieron. mala experiencia con esta tienda. las tiendas estadounidenses están ardiendo con la asociación con esta tienda. no recomiendo a nadie que…",Me gusta,
Monize Porfirio,Local Guide,5 reseñas,Hace 2 años,Nueva,"terrible, compré una guitarra que debía ser entregada el 01/06 y hasta ahora (22/06) no ha sido entregada!!…",Me gusta,
Tânia Ruiz,Local Guide,6 reseñas,Hace 2 años,Nueva,"¡compré y ni siquiera recibí satisfacción! ¡no lo recomiendo y nunca los consumiré! ¡reclamado en ml, reclame aquí y no responda!…",,Me gusta
Andre Mira,Local Guide,6 reseñas,Hace 2 años,Nueva,propaganda engañosa. enviaron un libro de edición económica cuando la compra fue la revista y actualizada. no recomiendo comprar en este lugar.…,,Me gusta
Walter Antar,Local Guide,2 reseñas,Hace 3 años,Nueva,terrible no entregue los productos. sin satisfacción compré el submarino y el responsable fue olista. hasta ahora no he recibido el producto con menos satisfacción. no compre si olist está involucrado en la venta. no…,Me gusta,
Fabiana Teixeira,Local Guide,4 reseñas,Hace 2 años,Nueva,"no lo recomiendo, despues de la compra pedi que me gustaria el color azul del producto que compre y me enviaron el color rosa.…",,Me gusta
MARCOS EDUARDO DOS SANTOS,Local Guide,1 reseña,Hace un año,Nueva,"desagradable, no vino como lo compré, las palas eran de plástico y de color blanco, muy diferente al de madera que compré.…",,Me gusta
Eliana Santos,Local Guide,1 reseña,Hace 3 años,Nueva,"compré un grifo y después de 20 días de uso comenzó a gotear en la parte flexible, llevo 28 días intentando contactar con olist y no he obtenido respuesta.…",Me gusta,
Fernanda Nasraui,Local Guide,2 reseñas,Hace 2 años,Nueva,terrible. realicé una compra el 24/04/2020 y hasta ahora no he recibido mi pedido. no puedo ponerme en contacto en absoluto.…,Me gusta,
CLÉO GASTARDELO,Local Guide,· 100 reseñas,Hace 5 años,Nueva,"compré una mercancía el día 12 y hasta hoy no ha sido entregada. es un remedio. debe tener un período máximo de 5 días, compré una freidora eléctrica y en 5 días la recibí, no compro más…",,Me gusta
Sonia Santos,Local Guide,9 reseñas,Hace 2 años,Nueva,"hice un pedido en el sitio web del complemento y hasta ahora esta tienda no ha entregado y no tengo devolución, tiene 30 días…",,Me gusta
Luís Fernando Dutra,Local Guide,7 reseñas,Hace 2 años,Nueva,"aunque entregaron antes de la fecha programada, les hice algunas preguntas que simplemente ignoraron. usan un sistema de respuesta automática y esto es malo cuando queremos cambiar algo.…",,Me gusta
leonardo barros,Local Guide,· 48 reseñas,Hace un año,Nueva,mi pedido no ha actualizado el estado desde el 25 de noviembre…,,Me gusta
Giuly Z,Local Guide,9 reseñas,Hace 2 años,Nueva,"desde el 16/06/2020 enviando correos electrónicos a olist y @submarino, ya que recibí solo un artículo de mi pedido. es un abandono total con el consumidor. no responden, no justifican y no hay otro canal de ayuda que…",,Me gusta
renato Caliman,Local Guide,3 reseñas,Hace 3 años,Nueva,terrible compró un producto no entregado. y pasaron el código de seguimiento incorrecto. no comprar estamos siendo robados por estos ladrones.…,Me gusta,
VINICIUS ALVES,Local Guide,· 30 reseñas,Hace 2 años,Nueva,"mala experiencia como proveedor. falta de transparencia al vender la plataforma, genera pocas ventas, las tasas de descuento informadas al momento de la venta no son reales, al pagarte el descuento es mucho mayor.…",Me gusta,
Gabriel Henrique,Local Guide,1 reseña,Hace 2 años,Nueva,insatisfacción total con la empresa olist. hicimos una compra a través del sitio web de americanas y el producto nunca fue entregado y ni siquiera recibimos la devolución del dinero. ¡no indico!…,Me gusta,
Rafael Mello,Local Guide,1 reseña,Hace un año,Nueva,"no me entregaron el producto, fue mi primera y ultima compra…",,Me gusta
Eder Soares,Local Guide,2 reseñas,Hace 3 años,Nueva,"compré un producto a través de olist no recibí lo que compré, no recibí ningún comentario de cómo resolverían la situación, desprecio total, tipica tienda que vende y despues si tienes un problema te importa un…",Me gusta,
Mario Cesar Frassom,Local Guide,12 reseñas,Hace 2 años,Nueva,"el pedido no llego no cumplieron su promesa. no dieron una explicación plausible de lo sucedido y cancelaron mi compra sin que yo se lo pidiera. terrible, no lo recomiendo!…",Me gusta,
Thainá Bittencourt,Local Guide,1 reseña,Hace un año,Nueva,"horrible, le entregaron mi pedido a un desconocido!!! los archivaré en procon…",,Me gusta
Cassia Francis Marchesini,Local Guide,1 reseña,Hace 2 años,Nueva,"terrible hice una compra por americanas.com, no entregan, no justifican, no dará tiempo, no regrese. simplemente ignorar. nunca más.…",,Me gusta
ZERO UM,Local Guide,1 reseña,Hace 9 meses,Nueva,"terrible experiencia, total falta de compromiso en la entrega. no indicar…",,Me gusta
Leonardo Miana,Local Guide,16 reseñas,Hace 3 años,Nueva,"una de las peores empresas que he conocido, deshonestidad y extraña falta de servicio, no respeta y no se preocupa por el consumidor, no soluciona el problema y no orienta a sus socios como hacerlo, es un verdadero…",Me gusta,
Cris Lopes,Local Guide,3 reseñas,Hace 2 años,Nueva,"hice una compra por mercado livre el 17/06/20, no me la enviaron, no contestan consultas. ¡pésimo sitio web!…",,Me gusta
Augusto,Local Guide,· 45 reseñas,Hace un año,Nueva,"mala empresa, mal entrega y mal pos venta... con olist solo se resuelve con procon…",Me gusta,
Marcos cirqueira,Local Guide,1 reseña,Hace 4 años,Nueva,"compré un cartucho a través de olist, pero cuando el cartero llegó aquí a mi ciudad, no encontró mi dirección y la oficina de correos me devolvió la mercancía, ¡¿qué hago, ayúdenme!…",,Me gusta
Aninha Cruzeirense,Local Guide,· 8 reseñas,Hace 2 años,Nueva,"horrible. si necesitas cambiarlo y presentas una reclamación, te lo bloquean.
hasta ahora estoy tratando de negociar, no tengo respuesta. pésima asistencia.…",,Me gusta
André Marques,Local Guide,2 reseñas,Hace 2 años,Nueva,"pésimo servicio! hice compras a través de americanas. pasó el plazo de entrega y, al ser contactados, cancelaron la compra.…",,Me gusta
Fernando Rosa do Nascimento,Local Guide,3 reseñas,Hace 2 años,Nueva,"el ventilador frontal de pc grow no enciende. ¿tienes una llave oculta?
no se ha enviado el manual de cultivo.…",,Me gusta
Importadora Capobianco,Local Guide,1 reseña,Hace 4 años,Nueva,"la peor experiencia de comercio electrónico de mi vida. no registran los productos, no repercuten los montos de las ventas, cobran montos indebidos, si el arrepentimiento pudiera matar, ya estaría muerto por haber…",Me gusta,
